prova,check
ProvaOBI1999_f1p2,"ok"
ProvaOBI1999_f2p2,"ok"
ProvaOBI2000_f1p2,"ok"
ProvaOBI2001_f1p2,"ok"
ProvaOBI2002_f1p2,"ok"
ProvaOBI2003_f0p0,"ok"
ProvaOBI2004_f0p0,"ok"
ProvaOBI2005_f0p1,"ok"
ProvaOBI2005_f0p2,"ok"
ProvaOBI2006_f1p1,"ok"
ProvaOBI2006_f1p2,"ok"
ProvaOBI2006_f2p1,"ok"
ProvaOBI2006_f2p2,"ok"
ProvaOBI2007_f1p1,"ok"
ProvaOBI2007_f1p2,"ok"
ProvaOBI2007_f2p1,"ok"
ProvaOBI2007_f2p2,"ok"
ProvaOBI2008_f1p1,"ok"
ProvaOBI2008_f1p2,"ok"
ProvaOBI2008_f1pj,"ok"
ProvaOBI2008_f2p1,"ok"
ProvaOBI2008_f2p2,"ok"
ProvaOBI2008_f2pj,"ok"
ProvaOBI2009_f1p1,"ok"
ProvaOBI2009_f1p2,"ok"
ProvaOBI2009_f1pj,"ok"
ProvaOBI2009_f2p1,"ok"
ProvaOBI2009_f2p2,"ok"
ProvaOBI2009_f2pj,"ok"
ProvaOBI2010_f1p1,"ok"
